Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,9.3,14.7,10,9.5,2.3,7.15
2. Borussia Dortmund,10.4,15.6,11,9,1.6,6.97
3. RB Leipzig,10.3,18.1,10.7,11,2.3,6.95
4. Borussia M.Gladbach,13.7,16.2,11.2,12.5,2.7,6.85
5. Bayer Leverkusen,11.1,16.4,9.8,11.6,2.7,6.84
6. Eintracht Frankfurt,13,17.5,11,12.5,1.7,6.74
7. Wolfsburg,11.2,17.6,11.1,14.4,2.1,6.73
8. Hoffenheim,14.7,15.6,10.3,11.3,1.8,6.72
9. Freiburg,17.8,12.7,10.4,9.7,1.6,6.70
10. Hertha Berlin,14.2,16.3,12.1,13.7,1.7,6.69
11. FC Koln,13.3,17.9,12.8,14.3,2.2,6.65
12. Union Berlin,14.5,16.2,12.4,15.4,1.9,6.65
13. Schalke 04,13.7,17.3,12,11.8,2.4,6.63
14. Mainz 05,14.9,16.9,10.7,13.6,2.1,6.63
15. Werder Bremen,14.7,16.2,12.4,13.6,1.6,6.57
16. Augsburg,14,15.7,12.8,11.1,2.4,6.57
17. Paderborn,14.6,18.6,10.7,12.5,1.8,6.52
18. Fortuna Duesseldorf,13.8,14.6,11,12,1.6,6.52
