Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Manchester City,17.5,7,13.2,9.3,7.15
2. Liverpool,16.8,6.1,11.6,8,6.99
3. Manchester United,13.5,4.7,12.3,11.1,6.98
4. Tottenham,16.4,5.7,11.5,10.4,6.95
5. Chelsea,15.9,5.8,13.5,10.7,6.94
6. Arsenal,15.6,6.2,10.1,9.9,6.92
7. Crystal Palace,12.5,4,12.7,10.6,6.84
8. Burnley,9.9,3.4,5.7,11.1,6.78
9. Leicester,11.1,3.9,11.1,9.4,6.74
10. Newcastle United,11.9,3.9,8,9.7,6.72
11. West Ham,9.8,3.5,11.1,11.8,6.72
12. Stoke,10.1,3.5,8.6,9.9,6.70
13. Brighton,10.1,3.1,7.8,7.3,6.69
14. Southampton,11.8,3.8,10,9.9,6.67
15. Everton,9.4,3.2,6.9,9.6,6.67
16. Watford,11.6,3.5,8.7,10,6.66
17. Bournemouth,12.2,4.2,9,10.8,6.65
18. West Bromwich Albion,9.9,3,8.5,9.1,6.63
19. Huddersfield,9.5,2.9,7.3,9.6,6.61
20. Swansea,8.9,2.7,8.4,10.5,6.59
