Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Juventus,11.4,14.9,12.1,13.3,2.4,6.85
2. Atalanta,8.6,15.9,13.6,15.3,1.5,6.84
3. AC Milan,12.2,16.5,10.1,13.5,2.4,6.82
4. Inter,10.2,13.3,9.8,12.4,1.7,6.81
5. Napoli,10.3,15.1,9.7,10.2,1.9,6.81
6. Roma,10.4,12.9,12.9,14.6,1.6,6.71
7. Sassuolo,13.9,13.9,11.2,13,1.5,6.67
8. Sampdoria,13.6,15.2,11.9,13.4,1.6,6.63
9. Lazio,10.6,15.7,11.7,13.1,2.3,6.62
10. Torino,13.3,13.9,11.7,15.2,1.6,6.59
11. Verona,14.1,12.5,12.9,16.4,2.8,6.59
12. Cagliari,14.6,15.5,10.2,13.6,1.5,6.58
13. Bologna,14.2,14.3,11.2,14.1,1.9,6.56
14. Udinese,12.2,13.2,11.6,13.4,2.2,6.55
15. Genoa,14.3,14.6,13.7,13.7,2.1,6.54
16. Fiorentina,12,13.1,10.2,13.8,1.6,6.52
17. Spezia,11.2,14.9,10.4,15.5,2.2,6.50
18. Parma Calcio 1913,13.9,15.4,12.2,13.8,2.1,6.49
19. Crotone,15.6,14.2,10,14,1.5,6.43
20. Benevento,13.2,13.4,10.1,13.1,1.6,6.43
